_ID, TimeSt,Country,Province,City,Latitude,Longitude
4519856,2017-06-21 02:00:02.080,CA,ON,Kitchener,43.44530,-80.49050
4519930,2017-06-21 19:00:02.340,CA,ON,London,43.00040,-81.23430
4520019,2017-06-21 18:00:02.380,CA,ON,Guelph,43.57760,-80.22010
4520085,2017-06-21 17:00:02.433,CA,ON,Windsor,42.26540,-83.02610
4520130,2017-06-21 15:00:02.473,CA,ON,London,43.00910,-81.17650
4520149,2017-06-21 02:00:02.493,CA,ON,Guelph,43.57760,-80.22010
4520192,2017-06-21 18:00:02.717,CA,ON,Guelph,43.57760,-80.22010
4520202,2017-06-21 17:00:02.433,CA,ON,Windsor,42.26540,-83.02610
4520296,2017-06-21 06:00:03.423,CA,ON,London,43.00910,-81.17650
4520345,2017-06-21 22:00:03.637,CA,ON,Windsor,42.26540,-83.02610
4520349,2017-06-21 09:00:03.800,CA,ON,Kitchener,43.45530,-80.48450
4520395,2017-06-21 02:00:04.040,CA,ON,Kitchener,43.43970,-80.43400
4520446,2017-06-21 12:00:04.447,CA,ON,London,43.00610,-81.29620
4520494,2017-06-21 22:00:03.637,CA,ON,Windsor,42.26540,-83.02610
4520587,2017-06-21 01:00:04.767,CA,ON,Chatham,42.37780,-82.18970
4520685,2017-06-21 13:00:04.860,CA,ON,Kitchener,43.41930,-80.38260
4520740,2017-06-21 07:00:04.867,CA,ON,Kitchener,43.41930,-80.38260
4520751,2017-06-21 20:00:05.027,CA,ON,London,42.99300,-81.16900
4520821,2017-06-21 07:00:05.127,CA,ON,Sarnia,42.96866,-82.40455
4520907,2017-06-21 12:00:05.683,CA,ON,London,43.00910,-81.17650
4520995,2017-06-21 05:00:05.687,CA,ON,London,43.00910,-81.17650
4521090,2017-06-21 18:00:06.077,CA,ON,Windsor,42.25450,-82.98090
4521119,2017-06-21 18:00:06.113,CA,ON,Kitchener,43.43810,-80.50990
4521184,2017-06-21 02:00:06.133,CA,ON,London,42.99230,-81.25310
4521232,2017-06-21 18:00:06.077,CA,ON,Windsor,42.25450,-82.98090
4521259,2017-06-21 14:00:06.600,CA,ON,London,43.00610,-81.29620
4521353,2017-06-21 13:00:06.717,CA,ON,Windsor,42.31590,-83.03110
4521387,2017-06-21 22:00:02.203,CA,ON,Kitchener,43.44530,-80.49050
